date,commodity,index_value,pct_change,roll_mean_3,roll_std_3,upper_bound,lower_bound,anomaly
2025-10-01,food_price_index,126.6,-1.631701631701632,128.43333333333334,1.7156145643255754,130.4097213114364,126.45694535523027,False
2025-11-01,food_price_index,125.1,-1.1848341232227444,126.8,1.8083141320006157,128.8831778800647,124.71682211993529,False
1990-01-01,meat,74.3,,74.3,,,,False
1990-02-01,meat,76.8,3.364737550471064,75.55,1.7677669529663689,77.58646752981726,73.51353247018274,False
1990-03-01,meat,78.5,2.213541666666674,76.53333333333333,2.112660250332111,78.96711794171593,74.09954872495074,False
1990-04-01,meat,81.2,3.439490445859872,78.83333333333333,2.218858565419011,81.38945840069603,76.27720826597063,False
1990-05-01,meat,81.8,0.738916256157629,80.5,1.7578395831246665,82.52503119975961,78.47496880024039,False
1990-06-01,meat,84.2,2.933985330073363,82.39999999999999,1.587450786638693,84.22874330620776,80.57125669379222,False
1990-07-01,meat,84.5,0.3562945368170922,83.5,1.4798648586947898,85.2048043172164,81.7951956827836,False
1990-08-01,meat,84.5,0.0,84.39999999999999,0.17320508075603264,84.59953225303094,84.20046774696904,False
1990-09-01,meat,85.5,1.183431952662728,84.83333333333333,0.5773502691893463,85.49844084343945,84.1682258232272,True
1990-10-01,meat,86.2,0.8187134502924076,85.40000000000002,0.8544003745315462,86.38426923146037,84.41573076853967,False
1990-11-01,meat,87.6,1.6241299303944245,86.43333333333334,1.0692676621561688,87.66512968013724,85.20153698652943,False
1990-12-01,meat,84.4,-3.652968036529669,86.06666666666668,1.604161255402005,87.91466043288979,84.21867290044356,False
1991-01-01,meat,80.5,-4.6208530805687325,84.16666666666667,3.5557465226493643,88.26288666075874,80.0704466725746,False
1991-02-01,meat,82.4,2.360248447204971,82.43333333333334,1.9502136635079688,84.67997947369452,80.18668719297216,False
1991-03-01,meat,81.6,-0.9708737864077777,81.5,0.9539392014168753,82.59893796003225,80.40106203996775,False
1991-04-01,meat,80.5,-1.3480392156862697,81.5,0.9539392014168753,82.59893796003225,80.40106203996775,False
1991-05-01,meat,82.0,1.8633540372670732,81.36666666666666,0.7767453465153172,82.26147730585231,80.47185602748101,False
1991-06-01,meat,81.3,-0.8536585365853666,81.26666666666667,0.7505553499464275,82.13130642980495,80.40202690352838,False
1991-07-01,meat,83.6,2.829028290282909,82.3,1.1789826122550844,83.65818796931785,80.94181203068214,False
1991-08-01,meat,80.4,-3.8277511961722355,81.76666666666667,1.6502525059314912,83.66775755349974,79.86557577983359,False
1991-09-01,meat,80.6,0.24875621890545485,81.53333333333332,1.7925772879664579,83.59838236907068,79.46828429759596,False
1991-10-01,meat,83.0,2.977667493796532,81.33333333333333,1.446835627613998,83.00008797634466,79.666578690322,False
1991-11-01,meat,82.6,-0.48192771084337727,82.06666666666666,1.2858201014656518,83.5479314235551,80.58540190977823,False
1991-12-01,meat,79.2,-4.116222760290544,81.60000000000001,2.0880613017820666,84.00544661965294,79.19455338034707,False
1992-01-01,meat,80.2,1.262626262626254,80.66666666666667,1.7473789896107865,82.6796472626983,78.65368607063505,False
1992-02-01,meat,81.6,1.74563591022443,80.33333333333333,1.2055427546683002,81.7221185867112,78.94454807995545,False
1992-03-01,meat,82.4,0.9803921568627638,81.39999999999999,1.1135528725659325,82.68281290919595,80.11718709080404,False
1992-04-01,meat,78.3,-4.97572815533982,80.76666666666667,2.173323108360377,83.27033488749782,78.2629984458355,False
1992-05-01,meat,78.9,0.766283524904221,79.86666666666666,2.2143471573656317,82.41759459195187,77.31573874138145,False
1992-06-01,meat,78.9,0.0,78.7,0.3464101615137319,79.09906450606383,78.30093549393618,False
1992-07-01,meat,79.5,0.7604562737642429,79.10000000000001,0.34641016151369286,79.49906450606379,78.70093549393623,True
1992-08-01,meat,78.6,-1.132075471698124,79.0,0.4582575694955306,79.52791272005885,78.47208727994115,False
1992-09-01,meat,78.1,-0.6361323155216314,78.73333333333333,0.7094598884597296,79.55063112483894,77.91603554182772,False
1992-10-01,meat,74.4,-4.7375160051216225,77.03333333333333,2.2941955743426194,79.67624663497602,74.39042003169064,False
1992-11-01,meat,76.2,2.4193548387096753,76.23333333333333,1.8502252115170383,78.36479277700096,74.10187388966571,False
1992-12-01,meat,73.7,-3.2808398950131212,74.76666666666667,1.2897028081435302,76.25240430164801,73.28092903168532,False
1993-01-01,meat,73.4,-0.4070556309362261,74.43333333333334,1.5373136743466895,76.20431868618073,72.66234798048595,False
1993-02-01,meat,72.9,-0.6811989100817484,73.33333333333334,0.4041451884327824,73.7989085904079,72.86775807625878,False
1993-03-01,meat,76.5,4.938271604938271,74.26666666666667,1.9502136635080005,76.51331280702789,72.02002052630544,False
1993-04-01,meat,75.7,-1.0457516339869244,75.03333333333335,1.8903262505010185,77.21098917391052,72.85567749275617,False
1993-05-01,meat,76.0,0.39630118890356947,76.06666666666666,0.4041451884325418,76.53224192374095,75.60109140959237,False
1993-06-01,meat,78.6,3.421052631578947,76.76666666666667,1.5947831618540202,78.6038568691225,74.92947646421084,False
1993-07-01,meat,78.1,-0.6361323155216314,77.56666666666666,1.3796134724382199,79.15598138691549,75.97735194641784,False
1993-08-01,meat,74.8,-4.225352112676051,77.16666666666667,2.0647840887930804,79.5452979369563,74.78803539637704,False
1993-09-01,meat,75.1,0.40106951871656804,75.99999999999999,1.8248287590894168,78.10220273047099,73.89779726952898,False
1993-10-01,meat,74.5,-0.798934753661773,74.8,0.299999999999802,75.14559999999977,74.45440000000022,False
1993-11-01,meat,73.6,-1.2080536912751794,74.39999999999999,0.7549834435270053,75.2697409269431,73.53025907305688,False
1993-12-01,meat,71.1,-3.3967391304347783,73.06666666666666,1.7616280348964932,75.09606216286743,71.0372711704659,False
1994-01-01,meat,70.2,-1.2658227848101111,71.63333333333333,1.7616280348965108,73.6627288295341,69.60393783713255,False
1994-02-01,meat,72.1,2.7065527065526895,71.13333333333333,0.9504384952922422,72.22823847990999,70.03842818675666,False
1994-03-01,meat,73.4,1.8030513176144458,71.89999999999999,1.609347693943111,73.75396854342246,70.04603145657752,False
1994-04-01,meat,74.0,0.8174386920980936,73.16666666666667,0.9712534856222014,74.28555068210345,72.0477826512299,False
1994-05-01,meat,77.0,4.054054054054057,74.8,1.928730152198546,77.02189713533272,72.57810286466727,False
1994-06-01,meat,75.4,-2.0779220779220675,75.46666666666668,1.5011106998929573,77.19594619294337,73.73738714039,False
1994-07-01,meat,75.9,0.6631299734747964,76.10000000000001,0.8185352771870998,77.04295263931955,75.15704736068047,False
1994-08-01,meat,77.7,2.371541501976271,76.33333333333334,1.2096831541081718,77.72688832686596,74.93977833980072,False
1994-09-01,meat,78.8,1.415701415701398,77.46666666666668,1.464012750399762,79.1532093551272,75.78012397820616,False
1994-10-01,meat,79.2,0.5076142131979822,78.56666666666666,0.7767453465152453,79.46147730585223,77.6718560274811,False
1994-11-01,meat,83.0,4.797979797979801,80.33333333333333,2.318045153428445,83.0037213500829,77.66294531658376,False
1994-12-01,meat,78.9,-4.939759036144576,80.36666666666666,2.285461295522872,82.99951807910901,77.73381525422431,False
1995-01-01,meat,79.1,0.25348542458807355,80.33333333333333,2.311565126344724,82.99625635888245,77.67041030778421,False
1995-02-01,meat,84.0,6.194690265486735,80.66666666666667,2.888482877451947,83.99419894149132,77.33913439184202,True
1995-03-01,meat,85.1,1.3095238095238049,82.73333333333333,3.19426569548199,86.41312741452859,79.05353925213808,False
1995-04-01,meat,85.9,0.9400705052879044,85.0,0.9539392014167627,86.09893796003212,83.90106203996788,False
1995-05-01,meat,84.1,-2.0954598370198085,85.03333333333333,0.9018499505643873,86.07226447638351,83.99440219028315,False
